Approved symbol	Alias symbol	Previous symbol
ACRV1	SPACA2	
ACRV1	SP-10	
ACRV1	D11S4365	
ACSBG1	BGM	
ACSBG1	FLJ30320	
ACSBG1	MGC14352	
ACSBG1	BG1	
ACSBG1	KIAA0631	
ACSBG1	hBG1	
ACSBG1	hsBG	
ACSBG2	BGR	
ACSBG2	PRTD-NY3	
ACSBG2	DKFZp434K1635	
ACSF2	FLJ20920	
ACSF2	ACSMW	
ACSL1	LACS2	FACL2
ACSL1	LACS	FACL2
ACSL1	ACS1	FACL2
ACSL1	LACS1	FACL2
ACSL1	FACL1	FACL2
ACSL3	ACS3	FACL3
ACSL3	PRO2194	FACL3
ACSL4	ACS4	FACL4
ACSL4	ACS4	MRX63
ACSL4	ACS4	MRX68
ACSL4	LACS4	FACL4
ACSL4	LACS4	MRX63
ACSL4	LACS4	MRX68
ACSL5	ACS5	FACL5
ACSL5	ACS2	FACL5
ACSL6	KIAA0837	FACL6
ACSL6	ACS2	FACL6
ACSL6	LACS5	FACL6
ACSL6	LACS2	FACL6
ACSM1	MACS1	BUCS1
ACSM2A	A-923A4.1	ACSM2
ACSM2A	MGC150530	ACSM2
ACSM2B	HXMA	ACSM2
ACSM2B	HYST1046	ACSM2
ACSM3	SA	SAH
ACSM5	FLJ20581	
ACSM6	bA310E22.3	C10orf129
ACSS1	dJ568C11.3	ACAS2L
ACSS1	AceCS2L	ACAS2L
ACSS1	MGC33843	ACAS2L
ACSS2	ACS	ACAS2
ACSS2	ACSA	ACAS2
ACSS2	AceCS	ACAS2
ACSS2	dJ1161H23.1	ACAS2
ACSS3	FLJ21963	
ACTA1	NEM3	ACTA
ACTA2	ACTSA	
ACTA2-AS1	uc001kfo.1	
ACTA2-AS1	ZXF1	
ACTBL2	DKFZp686D0972	
ACTBP8	ACTBP2	
ACTC1	CMD1R	ACTC
ACTG2	ACTSG	ACTL3
ACTG2	ACTSG	ACTA3
ACTL6A	Actl6	
ACTL6A	BAF53A	
ACTL6A	Arp4	
ACTL6A	Baf53a	
ACTL6A	INO80K	
ACTL6B	BAF53B	ACTL6
ACTL7B	Tact1	
ACTL8	CT57	
ACTL9	MGC33407	
ACTR1A	ARP1	
ACTR2	ARP2	
ACTR3	ARP3	
ACTR3B	ARP11	
ACTR3B	ARP3beta	
ACTR3BP2	FKSG73	
ACTR3C	ARP11	
ACTR5	FLJ12785	
ACTR5	Arp5	
ACTR5	INO80M	
ACTR6	ARP6	
ACTR6	FLJ13433	
ACTR8	INO80N	
ACTR10	HARP11	
ACTR10	ACTR11	
ACTR10	Arp11	
ACTR10	Arp10	
ACTRT1	AIP1	
ACTRT1	KIAA0705	
ACTRT1	ARIP1	
ACTRT1	Arp-T1	
ACTRT2	Arp-T2	
ACTRT2	ARPM2	
ACTRT2	FLJ25424	
ACTRT3	ARPM1	
ACVR1	SKR1	ACVRLK2
ACVR1	ALK2	ACVRLK2
ACVR1	ACVR1A	ACVRLK2
ACVR1B	ALK4	ACVRLK4
ACVR1B	SKR2	ACVRLK4
ACVR1B	ActRIB	ACVRLK4
ACVR1C	ALK7	
ACVR1C	ACVRLK7	
ACVR2A	ACTRII	ACVR2
ACVR2B	ActR-IIB	
ACVRL1	HHT2	ACVRLK1
ACVRL1	HHT2	ORW2
ACVRL1	ALK1	ACVRLK1
ACVRL1	ALK1	ORW2
ACVRL1	HHT	ACVRLK1
ACVRL1	HHT	ORW2
ACY3	HCBP1	
ACY3	MGC9740	
ACY3	ACY-3	
ADAD1	Tenr	
ADAD2	TENRL	
ADAD2	FLJ00337	
ADAM1A	FTNAP	ADAM1
ADAM1A	PH-30a	ADAM1
ADAM1A	Ftna	ADAM1
ADAM1A	ADAM1P	ADAM1
ADAM2	PH-30b	FTNB
ADAM2	PH30	FTNB
ADAM2	CT15	FTNB
ADAM3A	ADAM3	CYRN1
ADAM3A	tMDCI	CYRN1
ADAM5	tMDCII	ADAM5P
ADAM6	tMDCIV	C14orf96
ADAM7	GP-83	
ADAM7	EAPI	
ADAM8	CD156	
ADAM8	MS2	
ADAM8	CD156a	
ADAM9	MDC9	CORD9
ADAM9	KIAA0021	CORD9
ADAM9	MCMP	CORD9
ADAM9	Mltng	CORD9
ADAM10	kuz	
ADAM10	MADM	
ADAM10	HsT18717	
ADAM10	CD156c	
ADAM12	MCMPMltna	
ADAM12	MLTN	
ADAM15	MDC15	
ADAM17	cSVP	TACE
ADAM17	CD156B	TACE
ADAM18	tMDCIII	
ADAM18	ADAM27	
ADAM19	MLTNB	
ADAM21	ADAM31	
ADAM22	MDC2	
ADAM23	MDC3	
ADAM28	eMDCII	
ADAM28	MDC-Lm	
ADAM28	MDC-Ls	
ADAM28	ADAM23	
ADAM29	svph1	
ADAM29	CT73	
ADAM30	svph4	
ADAM33	DKFZp434K0521	C20orf153
ADAM33	dJ964F7.1	C20orf153
ADAMDEC1	M12.219	
ADAMTS1	C3-C5	
ADAMTS1	METH1	
ADAMTS1	KIAA1346	
ADAMTS2	ADAMTS-3	
ADAMTS2	hPCPNI	
ADAMTS2	PCINP	
ADAMTS2	ADAM-TS2	
ADAMTS2	NPI	
ADAMTS3	KIAA0366	
ADAMTS3	ADAMTS-4	
ADAMTS4	KIAA0688	
ADAMTS4	ADAMTS-2	
ADAMTS4	ADMP-1	
ADAMTS5	ADMP-2	
