Approved symbol	Alias symbol	Previous symbol
AK9	dJ70A9.1	AKD1
AK9	MGC26954	AKD1
AKAP1	AKAP121	PRKA1
AKAP1	AKAP149	PRKA1
AKAP1	SAKAP84	PRKA1
AKAP1	S-AKAP84	PRKA1
AKAP1	AKAP84	PRKA1
AKAP1	D-AKAP1	PRKA1
AKAP1	PPP1R43	PRKA1
AKAP1	TDRD17	PRKA1
AKAP2	AKAP-KL	PRKA2
AKAP2	KIAA0920	PRKA2
AKAP2	DKFZp564L0716	PRKA2
AKAP13	Ht31	LBC
AKAP13	BRX	LBC
AKAP13	AKAP-Lbc	LBC
AKAP13	c-lbc	LBC
AKAP13	PROTO-LB	LBC
AKAP13	HA-3	LBC
AKAP13	ARHGEF13	LBC
AKAP17A	XE7	CXYorf3
AKAP17A	XE7Y	CXYorf3
AKAP17A	DXYS155E	CXYorf3
AKAP17A	MGC39904	CXYorf3
AKAP17A	721P	CXYorf3
AKAP17A	CCDC133	CXYorf3
AKAP17A	XE7	SFRS17A
AKAP17A	XE7Y	SFRS17A
AKAP17A	DXYS155E	SFRS17A
AKAP17A	MGC39904	SFRS17A
AKAP17A	721P	SFRS17A
AKAP17A	CCDC133	SFRS17A
AKAP17BP		AKAP16B
AKAP17BP		AKAP16BP
AKIP1	BCA3	C11orf17
AKIRIN1	FLJ12666	C1orf108
AKIRIN2	FLJ10342	C6orf166
AKIRIN2	dJ486L4.2	C6orf166
AKNAD1	MGC26989	C1orf62
AKR1B1	AR	ALDR1
AKR1B1P1		ALDRL1
AKR1B1P2		ALDRP
AKR1B1P3		ALDRL3
AKR1B1P4		ALDRL4
AKR1B1P5		AKR1B1P
AKR1B10	AKR1B12	AKR1B11
AKR1B10	ARL-1	AKR1B11
AKR1B10	HIS	AKR1B11
AKR1B10	ARL1	AKR1B11
AKR1B10	HSI	AKR1B11
AKR1B10	ALDRLn	AKR1B11
AKR1C1	DDH	DDH1
AKR1C1	MBAB	DDH1
AKR1C1	DD1	DDH1
AKR1C1	HAKRC	DDH1
AKR1C2	DD	DDH2
AKR1C2	BABP	DDH2
AKR1C2	DD2	DDH2
AKR1C2	HAKRD	DDH2
AKR1C2	MCDR2	DDH2
AKR1C2	DD	TDD
AKR1C2	BABP	TDD
AKR1C2	DD2	TDD
AKR1C2	HAKRD	TDD
AKR1C2	MCDR2	TDD
AKR1C3	KIAA0119	HSD17B5
AKR1C3	DDX	HSD17B5
AKR1C3	HAKRB	HSD17B5
AKR1C3	PGFS	HSD17B5
AKR1C4	DD4	CHDR
AKR1C4	HAKRA	CHDR
AKR1C4	C11	CHDR
AKR1C4	3-alpha-HSD	CHDR
AKR1C4	CDR	CHDR
AKR1C4	MGC22581	CHDR
AKR1C8P		AKR1CL1
AKR1D1		SRD5B1
AKR1D1P1		SRD5BP1
AKR1D1P1		AKR1D1P
AKR1E2	MGC10612	AKRDC1
AKR1E2	MGC10612	AKR1CL2
AKTIP	FLJ13258	FTS
ALAS1		ALAS3
ALAS1		ALAS
ALAS2		ASB
ALDH1A1	RALDH1	PUMB1
ALDH1A1	RALDH1	ALDH1
ALDH1A3	RALDH3	ALDH6
ALDH1B1	ALDHX	ALDH5
ALDH1L1	10-fTHF	FTHFD
ALDH3A1		ALDH3
ALDH3A2	FALDH	SLS
ALDH3A2	FALDH	ALDH10
ALDH3B1		ALDH7
ALDH3B2		ALDH8
ALDH4A1	P5CDh	ALDH4
ALDH6A1		MMSDH
ALDH7A1	EPD	ATQ1
ALDH7A1	PDE	ATQ1
ALDH7A1P1		ATQL1
ALDH7A1P2		ATQL2
ALDH7A1P3		ATQL3
ALDH7A1P4		ATQL4
ALDH9A1	E3	ALDH7
ALDH9A1	E3	ALDH4
ALDH9A1	E3	ALDH9
ALDH18A1	P5CS	GSAS
ALDH18A1	P5CS	PYCS
ALG9		DIBD1
ALG13	MDS031	GLT28D1
ALG13	YGL047W	GLT28D1
ALG13	FLJ23018	GLT28D1
ALG13	TDRD13	GLT28D1
ALG13	MDS031	CXorf45
ALG13	YGL047W	CXorf45
ALG13	FLJ23018	CXorf45
ALG13	TDRD13	CXorf45
ALKBH1	hABH	ALKBH
ALKBH1	alkB	ALKBH
ALKBH1	ABH	ALKBH
ALKBH5	FLJ20308	OFOXD1
ALKBH7	MGC10974	SPATA11
ALMS1P1		ALMS1L
ALMS1P1		ALMS1P
ALOX12P1		ALOX12P
ALOX15P1		ALOX15P
ALPL	TNSALP	HOPS
ALS2		ALS2CR6
ALX1		CART1
ALX3		FND
ALX4	FPP	PFM2
ALX4	PFM	PFM2
ALX4	KIAA1788	PFM2
ALYREF	ALY	THOC4
ALYREF	BEF	THOC4
ALYREF	ALY/REF	THOC4
ALYREF	REF	THOC4
AMBP	UTI	ITI
AMBP	HCP	ITI
AMBP	EDC1	ITI
AMBP	HI30	ITI
AMBP	IATIL	ITI
AMBP	ITILC	ITI
AMBP	UTI	ITIL
AMBP	HCP	ITIL
AMBP	EDC1	ITIL
AMBP	HI30	ITIL
AMBP	IATIL	ITIL
AMBP	ITILC	ITIL
AMD1P2	AMDPX	AMD2
AMD1P2	AMDPY	AMD2
AMD1P2	AMDPX	AMD
AMD1P2	AMDPY	AMD
AMD1P2	AMDPX	AMDP1
AMD1P2	AMDPY	AMDP1
AMELX		AMG
AMELX		AIH1
AMELY		AMGL
AMER1	RP11-403E24.2	FAM123B
AMER1	FLJ39827	FAM123B
AMER1	WTX	FAM123B
AMER2	FLJ25477	FAM123A
AMER3	FLJ38377	FAM123C
AMY1A		AMY1
AMY1B		AMY1
AMY1C		AMY1
AMY2A		AMY2
AMY2B		AMY2
AMYP1		AMY2P
ANAPC10P1		ANAPC10P
ANAPC15	HSPC020	C11orf51
ANAPC15	DKFZP564M082	C11orf51
ANAPC15	APC15	C11orf51
ANAPC16	bA570G20.3	C10orf104
ANAPC16	FLJ33728	C10orf104
ANAPC16	APC16	C10orf104
ANAPC16	CENP-27	C10orf104
ANGEL1	Ccr4e	KIAA0759
ANGPTL1	ANG3	ANGPT3
ANGPTL1	AngY	ANGPT3
ANGPTL1	ARP1	ANGPT3
ANGPTL3		ANGPT5
ANGPTL8	TD26	C19orf80
ANGPTL8	RIFL	C19orf80
ANK1	SPH1	ANK
ANK2		LQT4
ANKEF1	FLJ21669	ANKRD5
ANKEF1	dJ839B4.6	ANKRD5
ANKH	HANK	CCAL2
ANKH	ANK	CCAL2
ANKH	CPPDD	CCAL2
ANKH	HANK	CMDJ
ANKH	ANK	CMDJ
ANKH	CPPDD	CMDJ
ANKLE1	FLJ39369	ANKRD41
ANKLE1	LEMD6	ANKRD41
ANKLE2	LEMD7	KIAA0692
ANKLE2	Lem4	KIAA0692
ANKRD13A	NY-REN-25	ANKRD13
ANKRD19P	FLJ36178	ANKRD19
ANKRD20A1	DKFZp434A171	ANKRD20A
ANKRD20A5P	MGC26718	ANKRD20A5
ANKRD20A8P		ANKRD20B
ANKRD20A10P		ANKRD20A4P1
ANKRD20A11P		C21orf81
ANKRD20A18P		C21orf126
ANKRD20A20P		CCDC29
ANKRD26	KIAA1074	THC2
ANKRD26P3		LINC00414
ANKRD30BL		NCRNA00164
ANKRD30BL		ANKRD30BP3
ANKRD30BP1	PRED4	C21orf110
ANKRD30BP1	PRED4	ANKRD30BP
ANKRD30BP2	CT85	C21orf99
ANKRD30BP2	CTSP-1	C21orf99
ANKRD33	DKFZp686O1689	C12orf7
ANKRD33	PANKY	C12orf7
ANKRD34A		ANKRD34
ANKRD36B	FLJ21281	KIAA1641
ANKRD36BP1	MGC12538	ANKRD26L1
ANKRD36BP1	MGC12538	ANKRD36BL1
ANKRD60	bA196N14.3	C20orf86
ANKS1A	KIAA0229	ANKS1
ANKS6	FLJ36928	SAMD6
ANKS6	NPHP16	SAMD6
ANKS6	FLJ36928	ANKRD14
ANKS6	NPHP16	ANKRD14
